"","obsid","species","duration","attempts","Rinter","Rintra","Iinter","Iintra","Successes","rsa","roa","isa","ioa"
"119","010103Let","G. sal",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"120","010103Let","Phleg",00:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"121","010103Let","D. mer",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"122","010104Edw","Phleg",02:20:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"123","010104Edw","Phleg",02:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"124","010104Edw","Phleg",01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"125","010104Edw","Phleg",02:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"126","010104Edw","Phleg",03:05:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"127","010104Gna","G. sal",01:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"128","010104Izu","M. fort",01:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"129","010104Lab","Rheg",01:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"130","010104Lab","Rheg",05:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"131","010104Lab","Rheg",06:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"132","010104Lab","Rheg",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"133","010104Nod","D. mer",01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"134","010104Nod","D. mer",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"135","010104Tit","D. mer",03:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"136","010106Edw","D. mer",01:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"137","010106Edw","Phleg",02:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"138","010106Edw","Phleg",02:15:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"139","010106Edw","Rheg",01:45:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"140","010106Let","Phleg",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"141","010108Gna","D. mer",01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"142","010108Gna","D. mer",04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"143","010108Lab","Rheg",02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"144","010108Lab","Rheg",01:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"145","010108Lab","Rheg",01:40:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"146","010108Let","D. mer",02:50:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"147","010108Let","Phleg",03:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"148","010109Edw","D. mer",01:40:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"149","010109Edw","D. mer",02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"150","010109Edw","D. mer",01:00:00,0,0,1,0,1,0,FALSE,TRUE,FALSE,TRUE
"151","010109Edw","D. mer",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"152","010109Edw","Phleg",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"153","010109Edw","Phleg",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"154","010109Edw","Phleg",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"155","010109Edw","D. mer",04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"156","010109Edw","D. mer",01:50:00,2,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE
"157","010109Edw","Phleg",03:20:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"158","010109Edw","D. mer",01:30:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE
"159","010109Edw","Phleg",03:30:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE
"160","010109Izu","Rheg",01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"161","010109Lab","D. mer",01:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"162","010109Let","Phleg",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"163","010109Let","G. sal",02:10:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"164","010110Edw","Rheg",01:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"165","010110Lab","G. sal",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"166","010110Lab","M. fort",03:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"167","010111Edw","G. sal",01:15:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"168","010111Edw","D. mer",02:30:00,1,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE
"169","010111Edw","Phleg",04:40:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"170","010111Lab","M. fort",03:30:00,5,0,0,1,0,3,FALSE,FALSE,TRUE,FALSE
"171","010111Let","D. mer",04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"172","010112Edw","D. mer",01:45:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"173","010112Edw","G. sal",02:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"174","010112Lab","G. sal",02:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"175","010112Lab","Rheg",02:30:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"176","010112Lab","G. sal",03:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"177","010112Lab","G. sal",02:50:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"178","010112Lab","Rheg",04:30:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"179","010113Let","D. mer",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"180","010115Izu","Rheg",02:20:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"181","010115Lab","Phleg",03:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"182","010115Lab","Phleg",03:15:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"183","010115Lab","M. fort",04:00:00,2,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE
"184","010115Lab","Phleg",04:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"185","010115Lab","Phleg",01:30:00,4,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE
"186","010115Lab","Phleg",03:15:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE
"187","010115Tit","G. sal",01:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"188","010115Tit","D. mer",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"189","010115Tit","D. mer",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"190","010115Tit","G. sal",04:00:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"191","010117Lab","Rheg",04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"192","010117Lab","Rheg",04:00:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE
"193","010117Lab","Rheg",03:50:00,8,0,0,0,0,7,FALSE,FALSE,FALSE,FALSE
"194","010117Stu","Phleg",02:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"195","010117Stu","M. fort",03:00:00,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"196","010117Tit","D. mer",02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"197","010117Tit","G. sal",03:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"198","010117Tit","Phleg",02:40:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"199","010118Lab","D. mer",02:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"200","010118Tit","Phleg",02:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"201","010118Tit","D. mer",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"202","010118Tit","G. sal",01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"203","010118Tit","Phleg",01:41:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"204","010118Tit","Phleg",01:20:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"205","010118Tit","D. mer",04:00:00,7,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE
"206","010119Lab","D. mer",01:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"207","010119Lab","D. mer",01:50:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"208","010119Lab","D. mer",04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"209","010119Lab","D. mer",02:20:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"210","010119Lab","D. mer",02:40:00,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE
"211","010119Lab","M. fort",01:30:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"212","010119Lab","D. mer",01:40:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"213","010119Lab","D. mer",03:20:00,5,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"214","010122Tit","G. sal",02:10:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"215","010123Lab","M. fort",01:20:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"216","010123Lab","M. fort",01:50:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"217","010123Lab","Phleg",03:40:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"218","010123Lab","Phleg",01:10:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"219","010123Lab","G. sal",02:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"220","010123Lab","Phleg",01:40:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"221","010123Lab","Rheg",02:00:00,1,0,2,0,0,1,FALSE,TRUE,FALSE,FALSE
"222","010123Lab","M. fort",02:50:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"223","010123Lab","Phleg",04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"224","010123Lab","Phleg",03:40:00,3,0,0,1,0,3,FALSE,FALSE,TRUE,FALSE
"225","010123Tit","M. fort",01:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"226","010123Tit","Rheg",03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"227","010123Tit","D. mer",04:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"228","010123Tit","D. mer",05:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"229","010123Tit","Rheg",01:28:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"230","010123Tit","D. mer",02:15:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"231","010124Izu","Phleg",01:50:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"232","010124Izu","D. mer",02:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"233","010124Izu","Phleg",03:30:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"234","010124Izu","D. mer",04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"235","010124Tit","M. fort",01:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"236","010124Tit","G. sal",01:20:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"237","010124Tit","Rheg",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
